date,type,currency,fcy_amount,volume_kwd,gross_profit_kwd,till
2026-06-30,sell,SAR,200000,16530,-14,WSL010420
2026-06-30,sell,TRY,600000,4122,-216.462,WSL010420
2026-06-30,sell,BAM,10000,1920,-6.708,WSL010420
2026-06-30,sell,GBP,20000,8240,38.932,WSL010420
2026-06-30,sell,MYR,50000,3825,-101.582,WSL010420
2026-06-30,sell,USD,50000,15550,40,WSL010420
2026-06-30,sell,BAM,9950,1905.425,-11.65,WSL030330
2026-06-30,sell,EUR,10000,3549,14.271,WSL030330
2026-06-30,sell,PLN,6660,579.42,31.689,WSL010420
2026-06-30,sell,GBP,15000,6177,21.081,WSL010420
2026-06-30,sell,GBP,30000,12372,46.203,WSL030330
2026-06-30,sell,USD,200000,62150,110,WSL030330
2026-06-30,sell,EUR,30000,10645.5,29.215,WSL010420
2026-06-30,sell,SAR,400000,33060,-28,WSL010420
2026-06-30,sell,TRY,500000,3435,-180.385,WSL010420
2026-06-30,sell,EUR,50000,17742.5,48.692,WSL010420
2026-06-30,sell,GBP,5000,2060,5.7,WSL030330
2026-06-30,sell,USD,30000,9330,24,WSL030330
2026-06-30,sell,JOD,20000,8780,1.34,WSL010420
2026-06-30,sell,THB,500000,4715,-77.59,WSL010420
2026-06-30,sell,TRY,1000000,6880,-350.77,WSL010420
2026-06-30,sell,USD,10000,3110,8,WSL010420
2026-06-30,sell,EUR,10000,3548,9.238,WSL030330
2026-06-30,sell,SYP,100000,271.5,23.34,WSL030330
2026-06-30,sell,USD,20000,6218,14,WSL030330
2026-06-30,sell,USD,50000,15550,40,WSL030330
2026-06-30,sell,EUR,20000,7081,3.477,WSL010420
2026-06-30,sell,USD,50000,15550,40,WSL030330
2026-06-30,buy,EGP,600000,4440,43.632,WSL010420
2026-06-30,sell,CNY,100000,4615,-21.771,WSL010420
2026-06-30,sell,THB,1000000,9400,-185.18,WSL010420
2026-06-30,sell,TRY,500000,3440,-175.385,WSL010420
2026-06-30,sell,USD,40000,12440,32,WSL010420
2026-06-30,buy,CZK,100000,1524.6,-65.591,WSL010420
2026-06-30,sell,CNY,10000,461.5,-2.177,WSL030330
2026-06-30,sell,USD,130000,40417,91,WSL030330
2026-06-30,sell,AED,10000,842,-3.462,WSL030330
2026-06-30,sell,INR,400000,1328,-50.652,WSL030330
2026-06-30,sell,JOD,32000,14044.8,-1.056,WSL030330
2026-06-30,sell,PHP,100000,520,-24.091,WSL030330
2026-06-30,sell,SAR,150000,12390,-18,WSL030330
2026-06-30,sell,THB,100000,942,-16.518,WSL030330
2026-06-30,sell,TRY,30000,206.4,-10.523,WSL030330
2026-06-30,sell,USD,260000,80834,182,WSL030330
2026-06-30,buy,EUR,500,162.5,14.314,WSL030330
2026-06-30,buy,SAR,200,15.9,0.644,WSL030330
